"gender","age","attitude","points","deep","surf","stra"
"F",53,37,25,3.58,2.58,3.38
"M",55,31,12,2.92,3.17,2.75
"F",49,25,24,3.5,2.25,3.62
"M",53,35,10,3.5,2.25,3.12
"M",49,37,22,3.67,2.83,3.62
"F",38,38,21,4.75,2.42,3.62
"M",50,35,21,3.83,1.92,2.25
"F",37,29,31,3.25,2.83,4
"M",37,38,24,4.33,2.17,4.25
"F",42,21,26,4,3,3.5
"M",37,39,31,3.58,2.67,3.62
"F",34,38,31,3.83,2.42,4.75
"F",34,24,23,4.25,2.25,3.62
"F",34,30,25,3.33,2.75,3.5
"M",35,26,21,4.17,2.33,1.75
"F",33,41,31,3.67,2.33,3.88
"F",32,26,20,4.08,2.92,1.38
"F",44,26,22,3.5,2.5,3.25
"M",29,17,9,4.08,3.75,3
"F",30,27,24,4,2.75,3.75
"M",27,39,28,3.92,2.33,2.62
"M",29,34,30,4,2.42,2.38
"F",31,27,24,4,3,3.62
"F",37,23,9,3.67,2.42,2.75
"F",26,37,26,3.67,2.83,1.75
"F",26,44,32,4.42,3.17,3.25
"M",30,41,32,3.92,3,4
"F",33,37,33,3.75,2,3.62
"F",33,25,29,3.25,3.5,2.88
"M",28,30,30,3.58,3.75,3
"M",26,34,19,4.92,2.5,1.62
"F",27,32,23,3.58,2.08,3.25
"F",25,20,19,2.92,2.42,3.5
"F",31,24,12,3.67,2.58,3
"M",20,42,10,4.5,1.58,3.25
"F",39,16,11,4.08,2.83,1.88
"M",38,31,20,3.83,1.83,4.38
"M",24,38,26,3.25,2.42,3.62
"M",26,38,31,2.33,3.25,2.5
"M",25,33,20,3.33,3.42,1.25
"F",30,17,23,4.08,3.42,4
"F",25,25,12,2.92,3.17,3
"M",30,32,24,3.33,3.5,2.5
"F",48,35,17,3.83,2.67,4.88
"F",24,32,29,3.67,2.42,5
"F",40,42,23,4.67,3.58,4.38
"M",25,31,28,3.75,2.08,3.25
"F",23,39,31,3.42,3.75,4
"F",25,19,23,4.17,2.92,3.12
"F",23,21,25,2.92,2.92,2.5
"M",27,25,18,4.17,2.42,3.12
"M",25,32,19,3.58,3,3.25
"M",23,32,22,2.83,3.42,2.12
"F",23,26,25,4,2.92,2.75
"F",23,23,21,2.92,3.25,2.38
"F",45,38,9,3,3.25,3.12
"F",22,28,28,4.08,2.33,4
"F",23,33,25,2.92,3.25,4
"M",21,48,29,3.5,2.5,2.25
"M",21,40,33,4.33,1.75,3.25
"F",21,40,33,4.25,2.25,3.62
"F",21,47,25,3.42,2.08,3.62
"F",26,23,18,3.08,2.83,2.5
"F",25,31,22,4.58,2.83,1.88
"F",26,27,17,3.42,2.42,2
"M",21,41,25,3.42,2.25,1.88
"F",23,34,28,3.42,2.83,4
"F",22,25,22,3.58,2.25,2.88
"F",22,21,26,1.58,1.83,3.88
"F",22,14,11,3.33,2.92,2.5
"F",23,19,29,4.33,2.92,2.75
"M",22,37,22,4.42,2.08,4.5
"M",23,32,21,4.83,2.33,3.38
"M",24,28,28,3.08,2.42,2.62
"F",22,41,33,3,2.75,4.12
"F",23,25,16,4.08,3.25,2.62
"M",22,28,31,4.08,1.75,2.25
"M",20,38,22,3.75,2.58,2.75
"M",22,31,31,3.08,3.33,3
"M",21,35,23,4.75,2.83,1.62
"F",22,36,26,4.25,2.5,1.88
"F",23,26,12,4.17,2.42,3.38
"M",21,44,26,4.42,2.42,3.75
"M",22,45,31,3.83,2.58,2.12
"M",29,32,19,3.33,3,2.38
"F",29,39,30,3.17,2,2.75
"F",21,25,12,3.17,3.42,3.12
"M",28,33,17,3.83,2.83,3.5
"F",21,33,18,4.25,2.25,2.62
"F",30,30,19,3.83,2.75,3.38
"F",21,29,21,3.67,3.92,2.25
"M",23,33,24,3.83,2.33,3
"F",21,33,28,3.83,2.75,4
"F",21,35,17,3.83,2.75,3.5
"F",20,36,18,3.67,2.92,2.62
"M",22,37,17,4.33,2.08,2.5
"M",21,42,23,3.75,3.67,3.75
"M",21,32,26,4.17,2.83,3.62
"F",20,50,28,4,3.42,4.12
"M",22,47,31,4,1.58,4.38
"F",20,36,27,4.58,2.92,2.62
"F",20,36,25,3.67,3,4
"M",24,29,23,3.67,2.92,2.75
"F",20,35,21,3.83,2.67,2.75
"F",19,40,27,2.58,3,1.38
"F",21,35,28,3.5,2.75,2.25
"F",21,32,23,3.08,3.08,3.62
"F",22,26,21,4.25,2.5,3.75
"F",25,20,25,3.17,2.33,4
"F",21,27,11,3.08,3,3.12
"F",22,32,19,4.17,3,3.25
"F",25,33,24,2.25,4,2.12
"F",20,39,28,3.33,3.25,2.88
"M",24,33,21,3.08,3.5,1.5
"F",20,30,24,2.75,3.5,2.5
"M",21,37,24,3.25,3.83,3.25
"F",20,25,20,4,2.92,3.62
"F",20,29,19,3.58,2.17,3.88
"M",31,39,30,4.08,1.67,3.88
"F",20,36,22,4.25,2.08,2.38
"F",22,29,16,3.42,2.83,3
"F",22,21,16,3.08,3.42,3.38
"M",21,31,19,3.5,3.33,2.75
"M",22,40,30,3.67,2.58,4.5
"F",21,31,23,4.25,2.83,2.62
"F",21,23,19,4.25,3.33,2.75
"F",21,28,18,3.83,3,3.25
"F",21,37,28,4.42,2.58,4.12
"F",20,26,21,3.5,2.42,3.38
"F",21,24,19,3.58,3.58,2.75
"F",25,30,27,3.67,2.08,4.12
"M",21,28,24,2.08,4.33,3.25
"F",24,29,21,4.25,2.67,2.88
"F",20,24,20,3.58,3,2.88
"M",21,31,28,4,2.67,2.38
"F",20,19,12,3.33,2.17,3.88
"F",20,20,21,3.5,2.67,2.12
"F",18,38,28,3.17,2.25,4
"F",21,34,31,3.58,2.67,3.25
"F",19,37,18,3.42,3.33,2.62
"F",21,29,25,4.25,3.5,2.75
"F",20,23,19,3.25,2.75,4
"M",21,41,21,4.42,2,3
"F",20,27,16,3.25,2.83,3.38
"F",21,35,7,3.92,3.5,3.88
"F",20,34,21,3.58,2.5,3.25
"F",18,32,17,4.5,3.17,3.38
"M",22,33,22,3.58,3.08,4.12
"F",22,33,18,3.67,2.92,3.5
"M",24,35,25,2.58,3.17,2
"F",19,32,24,4.17,2.5,3.62
"F",20,31,23,3.25,3.83,3.38
"F",20,28,23,4.33,2.25,2.12
"F",17,17,26,3.92,3.42,4.62
"M",19,19,12,2.67,3.75,2.5
"F",20,35,32,3.08,3,2.88
"F",20,24,22,3.75,2.58,2.75
"F",20,21,20,4.17,3.33,4
"F",20,29,21,4.17,2.83,2.38
"F",19,19,23,3.25,3,3.88
"F",19,20,20,4.08,2.83,3.38
"F",22,42,28,2.92,3.17,1.75
"M",35,41,31,3.83,2.75,3
"F",18,37,18,3.17,3.42,2.62
"F",19,36,30,3.42,3,2.62
"M",21,18,19,4.08,2.67,3.38
